Sample1	Sample2	Group	Distance	Neighbor1	Neighbor2	Street1	Street2	District1	District2
S1511	S1533	Same_neighbor	0.245292431132	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S713	S710	Same_neighbor	0.182316998818	Taishan11	Taishan11	Taishan1	Taishan1	Taishan	Taishan
S713	S717	Same_neighbor	0.416136674168	Taishan11	Taishan11	Taishan1	Taishan1	Taishan	Taishan
S1476	S1470	Same_neighbor	0.189799229785	Zhuhai21	Zhuhai21	Zhuhai2	Zhuhai2	Zhuhai	Zhuhai
S1476	S1475	Same_neighbor	0.165107872835	Zhuhai21	Zhuhai21	Zhuhai2	Zhuhai2	Zhuhai	Zhuhai
S1476	S1567	Same_neighbor	0.277590722806	Zhuhai21	Zhuhai21	Zhuhai2	Zhuhai2	Zhuhai	Zhuhai
S1281	S1424	Same_neighbor	0.433221098567	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1281	S1280	Same_neighbor	0.298665671753	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1281	S1413	Same_neighbor	0.34655193896	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1281	S1417	Same_neighbor	0.453298416913	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1281	S1329	Same_neighbor	0.433470513567	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1281	S1428	Same_neighbor	0.376730264935	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1281	S1421	Same_neighbor	0.40815563148	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1281	S1422	Same_neighbor	0.256515773859	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1304	S1332	Same_neighbor	0.308517272457	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1209	Same_neighbor	0.435715180411	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1425	Same_neighbor	0.389325353443	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1210	Same_neighbor	0.346427236921	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1250	Same_neighbor	0.485721413257	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1183	Same_neighbor	0.344681381638	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1295	Same_neighbor	0.293677516825	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1221	Same_neighbor	0.363137550184	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1395	Same_neighbor	0.333832152332	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1304	S1185	Same_neighbor	0.278089540444	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1285	S1340	Same_neighbor	0.298915079454	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1334	Same_neighbor	0.324728769727	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1275	Same_neighbor	0.286818810922	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1273	Same_neighbor	0.347175459243	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1264	Same_neighbor	0.343060235642	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1283	Same_neighbor	0.247287696269	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1248	Same_neighbor	0.288439956846	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1255	Same_neighbor	0.435839880539	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1387	Same_neighbor	0.261503927323	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1285	S1404	Same_neighbor	0.235191424294	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1280	S1424	Same_neighbor	0.332211002002	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1531	S1533	Same_neighbor	0.3598952506	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1531	S1520	Same_neighbor	0.259882780071	Zhuhai12	Zhuhai12	Zhuhai1	Zhuhai1	Zhuhai	Zhuhai
S1334	S1340	Same_neighbor	0.187429853844	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1334	S1255	Same_neighbor	0.238807830425	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1334	S1264	Same_neighbor	0.255642846861	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
