phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	ARG12	Neis_low	555	0:1	260:295	-0.06891	0.0019887700139032	1.10727330469315	0.293141761370033
Occupational_pollution	ARG13	Neis_high	557	0:1	280:277	0.07187	0.000753943158099204	0.416366100891939	0.519026433498161
Occupational_pollution	ARG13	Neis_low	555	0:1	260:295	-0.13445	0.006423921779796	3.60489810190312	0.0581375098186301
Occupational_pollution	ARG14	Neis_high	557	0:1	280:277	0.04744	0.000655873453058925	0.380228030361341	0.537737767847459
Occupational_pollution	ARG14	Neis_low	555	0:1	260:295	-0.03257	0.000186743502744537	0.104867778064587	0.746188742819726
Occupational_pollution	ARG15	Neis_high	557	0:1	280:277	0.04839	0.00242917950196374	1.34719843721735	0.246274784019222
Occupational_pollution	ARG15	Neis_low	555	0:1	260:295	-0.09159	0.00187624592395503	1.0443880151284	0.307256535705244
Occupational_pollution	ARG16	Neis_high	557	0:1	280:277	0.04711	0.000438162821795353	0.242285619721921	0.622757661228956
Occupational_pollution	ARG16	Neis_low	555	0:1	260:295	-0.02511	0.000143977634067056	0.0797102661825154	0.777797618301817
Occupational_pollution	ARG17	Neis_high	557	0:1	280:277	-0.03444	0.000255020964514636	0.146306201784179	0.702239149636221
Occupational_pollution	ARG17	Neis_low	555	0:1	260:295	0.00712	1.09711993552183e-05	0.00614892136375344	0.937526676906236
Occupational_pollution	ARG18	Neis_high	557	0:1	280:277	0.0017	6.13507300309402e-07	0.000358256946168448	0.984905702554817
Occupational_pollution	ARG18	Neis_low	555	0:1	260:295	0.02438	0.000132960485348801	0.0742380794270577	0.785366423265211
Occupational_pollution	ARG19	Neis_high	557	0:1	280:277	-0.07496	0.00118709403294072	0.668851014640398	0.413808577435743
Occupational_pollution	ARG19	Neis_low	555	0:1	260:295	0.06056	0.000845434506299376	0.479357180409473	0.489008511720877
Occupational_pollution	ARG20	Neis_high	557	0:1	280:277	0	0.000115952013362564	0.0758972988444217	0.783040277829007
Occupational_pollution	ARG20	Neis_low	555	0:1	260:295	0.07343	0.000612321115137215	0.339528690541507	0.560342394478339
Occupational_pollution	ARG21	Neis_high	557	0:1	280:277	0	0.000101959160102694	0.0758972988444494	0.783040277828969
Occupational_pollution	ARG21	Neis_low	555	0:1	260:295	0.10393	0.00122806514284165	0.67300755252891	0.412363654731213
Occupational_pollution	ARG22	Neis_high	557	0:1	280:277	0.04624	0.000386526339980493	0.213816843745977	0.643975981596864
Occupational_pollution	ARG22	Neis_low	555	0:1	260:295	0.10675	0.0028675551064303	1.57822168203281	0.209555262409517
Occupational_pollution	ARG23	Neis_high	557	0:1	280:277	-0.08441	0.00156876034965137	0.894829580026294	0.344589553644086
Occupational_pollution	ARG23	Neis_low	555	0:1	260:295	0.02453	0.000131199145272256	0.0723556349692634	0.788039155225875
Occupational_pollution	ARG24	Neis_high	557	0:1	280:277	-0.11688	0.00312860354061494	1.79489244464224	0.180887512937941
Occupational_pollution	ARG24	Neis_low	555	0:1	260:295	-0.13271	0.00363051496828868	2.08900421609478	0.148937487072931
Occupational_pollution	ARG25	Neis_high	557	0:1	280:277	-0.07448	0.00102777983188614	0.567320657489313	0.451649635425939
Occupational_pollution	ARG25	Neis_low	555	0:1	260:295	-0.13912	0.00493277563029141	2.71009448647573	0.100291581871889
Occupational_pollution	ARG26	Neis_high	557	0:1	280:277	-0.11185	0.00283628034435079	1.58640074909114	0.208378276970134
Occupational_pollution	ARG26	Neis_low	555	0:1	260:295	-0.10387	0.0022848834411483	1.25772208767944	0.262576591742043
Occupational_pollution	ARG27	Neis_high	557	0:1	280:277	-0.13849	0.00434256432036407	2.4415258717379	0.118739565788664
Occupational_pollution	ARG27	Neis_low	555	0:1	260:295	-0.0502	0.000524299515363829	0.28826225950924	0.591555381350094
Occupational_pollution	ARG28	Neis_high	557	0:1	280:277	-0.1622	0.00486263175333041	2.7475602040916	0.0979763107048955
Occupational_pollution	ARG28	Neis_low	555	0:1	260:295	0.04687	0.000564216025186158	0.319801057894394	0.57195995868176
Occupational_pollution	ARG29	Neis_high	557	0:1	280:277	-0.01977	8.66357595333943e-05	0.0479700682443515	0.826715617995444
Occupational_pollution	ARG29	Neis_low	555	0:1	260:295	0.0391	0.000314106857380193	0.173073121543965	0.677558712028029
Occupational_pollution	ARG30	Neis_high	557	0:1	280:277	0.00561	5.53251107730801e-06	0.0030751644794967	0.95579689280339
Occupational_pollution	ARG30	Neis_low	555	0:1	260:295	-0.05988	0.00111686410082422	0.619977803732718	0.431397819900164
Occupational_pollution	ARG31	Neis_high	557	0:1	280:277	-0.13725	0.00235287481620071	1.31596833900677	0.251818398261183
Occupational_pollution	ARG31	Neis_low	555	0:1	260:295	-0.00574	1.84000270826642e-05	0.0101964609792498	0.919605436125681
